file	percent	reads	taxon_id	taxon_name
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000040	9	155977	Acaryochloris
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000036	8	107	Spirosoma
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000036	8	69578	Cryobacterium
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000036	8	121871	Haloterrigena
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000036	8	175304	Lentibacillus
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000036	8	1274351	Kroppenstedtia
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000036	8	1505663	Erysipelatoclostridium
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000036	8	2100764	Mixta
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000031	7	85	Hyphomonas
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000031	7	416	Methylomonas
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000031	7	830	Butyrivibrio
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000031	7	43668	Brachybacterium
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000031	7	106589	Cupriavidus
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000031	7	1511635	Aquisphaera
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000031	7	1648508	Ciceribacter
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000031	7	2651578	Thermanaerosceptrum
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000027	6	407	Methylobacterium
./kaiju/13697_32712_179493_H5LVWAFX5_CROPPS_18N_CTTAATAG.out	0.000027	6	434	Acetobacter
